,CL105_NS_Run18_0815_trimmed.result,CL146_NS_Run18_0815_trimmed.result,CL152_NS_Run18_0815_trimmed.result,CL154_NS_Run18_0815_trimmed.result,CL156_NS_Run18_0815_trimmed.result,CL162_NS_Run18_0815_trimmed.result,CL164_NS_Run18_0815_trimmed.result,CL167_trimmed.result,CL172_NS_Run18_0815_trimmed.result,CL176_trimmed.result,CL183_trimmed.result,CL187_NS_Run18_0815_trimmed.result,CL191_trimmed.result,CL196_NS_Run18_0815_trimmed.result,CL203_NS_Run18_0815_trimmed.result,CL213_trimmed.result,CL214_NS_Run18_0815_trimmed.result,CL219_NS_Run18_0815_trimmed.result,CL228_trimmed.result,CL236_trimmed.result,CL240_NS_Run18_0815_trimmed.result,CL244_trimmed.result,CL253_trimmed.result,CL41_NS_Run18_0815_trimmed.result,CL50_NS_Run18_0815_trimmed.result,CL53_NS_Run18_0815_trimmed.result,CL56_NS_Run18_0815_trimmed.result,CL85_NS_Run18_0815_trimmed.result,Female-Ctrl_NS_Run18_0815_trimmed.result,Male-Ctrl_NS_Run18_0815_trimmed.result
hsa-mir-200b,0,43,49,23,13,39,39,0,42,0,0,0,0,12,59,53,40,0,8,0,44,11,0,34,31,22,61,0,123,32
hsa-mir-200a,12,19,20,6,0,27,17,0,30,0,0,7,0,19,31,16,37,6,8,0,17,5,0,11,6,19,24,6,78,22
hsa-mir-30e,10621,40314,69308,27391,45385,63084,33496,2136,42731,2472,1778,7344,1836,12408,64096,9115,71372,2150,7209,39,68765,7857,140,42102,41447,62762,56992,18124,63992,21523
hsa-mir-30c-1,2018,7873,9012,5258,5505,7855,5523,338,8367,226,256,1026,208,1927,8409,4391,9484,393,963,9,10996,1629,23,7288,9488,8518,10503,2535,15510,5045
hsa-mir-197,564,1525,0,2377,0,0,986,116,2947,0,18,0,0,761,1731,1728,0,146,305,0,0,151,0,0,2782,0,3223,450,1868,1162
hsa-mir-320b-1,34,30,57,68,46,142,25,0,73,0,0,8,0,25,84,28,61,0,12,0,52,0,0,64,65,64,59,24,127,56
hsa-mir-942,0,16,8,0,10,0,0,0,16,0,0,0,0,0,0,17,0,0,0,0,0,9,0,18,0,18,16,0,47,10
hsa-mir-92b,242,300,695,332,351,194,282,67,389,17,64,137,0,71,254,164,340,0,0,0,485,0,0,712,272,562,720,99,0,0
hsa-mir-4677,16,29,62,43,39,24,46,0,56,0,0,14,0,0,66,19,73,0,9,0,57,8,0,67,34,52,86,15,51,55
hsa-mir-146b,0,0,0,14507,0,0,7012,0,0,0,0,1695,234,0,0,4274,0,0,0,0,0,2620,0,0,0,0,29173,0,5632,9143
hsa-mir-548e,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-3161,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,12,7,0,6,0
hsa-mir-130a,26,146,140,0,11,48,0,62,0,15,0,0,0,42,257,116,237,42,76,0,37,36,0,99,16,144,0,0,731,0
hsa-mir-548k,16,115,141,114,112,60,92,5,217,10,5,18,5,27,164,66,167,0,12,0,151,40,0,125,99,114,210,47,159,108
hsa-mir-548k*,16,115,141,114,112,60,92,5,217,10,5,18,5,27,164,66,167,0,12,0,151,40,0,125,99,114,210,47,159,108
hsa-mir-200c,21,49,66,28,30,63,22,0,56,0,0,18,6,36,141,22,98,0,18,0,59,8,0,40,29,57,64,44,79,25
hsa-mir-141,1197,2457,2090,608,1887,4018,981,67,1899,128,63,826,68,1546,5451,596,4102,149,1069,0,1723,132,6,2587,1561,2962,2146,858,3036,751
hsa-mir-196a-2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,32,11,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-148b,0,1482,2473,1826,1372,0,915,85,2383,77,68,471,65,0,3574,715,0,175,0,0,1662,301,0,1215,1440,1419,2532,814,2351,1159
hsa-mir-331,0,252,494,0,222,317,87,20,456,0,8,160,12,130,1060,75,339,50,0,0,265,0,0,82,232,199,238,0,188,0
hsa-mir-3922,0,9,6,0,0,0,0,0,6,0,0,0,0,0,5,5,11,0,0,0,0,0,0,9,5,6,0,0,0,0
hsa-mir-17,355,1262,2024,1041,1592,1525,829,76,1534,55,73,271,69,451,1704,387,2081,88,306,0,1870,255,10,911,1132,1775,1472,587,2165,798
hsa-mir-17*,355,1262,2024,1041,1592,1525,829,76,1534,55,73,271,69,451,1704,387,2081,88,306,0,1870,255,10,911,1132,1775,1472,587,2165,798
hsa-mir-18a,0,0,0,0,117,0,0,0,276,0,0,0,0,0,0,46,0,11,0,0,119,19,0,0,0,0,126,0,300,108
hsa-mir-19a,81,284,244,96,360,435,162,20,421,12,0,41,10,59,629,54,364,7,30,0,442,66,0,218,299,213,266,132,511,0
hsa-mir-20a,469,2288,4477,1040,3545,2743,1866,121,1812,41,79,397,49,815,3072,300,3362,127,351,0,0,381,6,1755,1833,3290,2695,1122,2276,841
hsa-mir-19b-1,487,1904,1909,567,2967,2819,1184,95,0,55,29,241,32,440,4552,295,2828,48,159,0,3257,459,0,1419,2333,1381,2077,1029,3022,548
